match_id,player,g_1,g_2,g_3,g_4,g_5
Women's Singles - Round of 32 - Match 1,ZHANG Lily,11,6,11,11,0
Women's Singles - Round of 32 - Match 1,STEFANOVA Nikoleta,8,11,4,5,0
Women's Singles - Round of 32 - Match 1,ZHANG Lily,11,6,11,11,0
Women's Singles - Round of 32 - Match 1,STEFANOVA Nikoleta,8,11,4,5,0
Women's Singles - Round of 32 - Match 13,BAJOR Natalia,11,7,11,11,0
Women's Singles - Round of 32 - Match 13,DEGRAEF Margo,7,11,9,5,0
Women's Singles - Round of 32 - Match 15,KUKULKOVA Tatiana,6,11,8,2,0
Women's Singles - Round of 32 - Match 15,MORET Rachel,11,8,11,11,0
Women's Singles - Round of 32 - Match 4,BALDWIN Mari,7,9,1,0,0
Women's Singles - Round of 32 - Match 4,LIU Hsing-Yin,11,11,11,0,0
Women's Singles - Round of 32 - Match 14,PATTERSON Mollie,10,6,12,0,0
Women's Singles - Round of 32 - Match 14,ZARIF Audrey,12,11,14,0,0
Women's Singles - Round of 16 - Match 6,PESOTSKA Margaryta,9,11,5,6,0
Women's Singles - Round of 16 - Match 6,HUANG Yi-Hua,11,7,11,11,0
Women's Singles - Round of 32 - Match 2,MADARASZ Dora,11,9,11,11,0
Women's Singles - Round of 32 - Match 2,DE NUTTE Sarah,5,11,8,5,0
Women's Singles - Round of 32 - Match 12,HUANG Yi-Hua,4,11,12,11,11
Women's Singles - Round of 32 - Match 12,NI Xia Lian,11,9,14,8,6
Women's Singles - Round of 32 - Match 16,ALTINKAYA Sibel,9,5,8,0,0
Women's Singles - Round of 32 - Match 16,KIM Nayeong,11,11,11,0,0
Women's Singles - Round of 32 - Match 10,MATELOVA Hana,11,7,4,11,11
Women's Singles - Round of 32 - Match 10,HURSEY Anna,8,11,11,8,9
Women's Singles - Round of 32 - Match 3,BRATEYKO Solomiya,11,7,11,11,0
Women's Singles - Round of 32 - Match 3,JI Eunchae,4,11,3,4,0
Women's Singles - Round of 16 - Match 3,EARLEY Sophie,8,11,14,3,4
Women's Singles - Round of 16 - Match 3,VIVARELLI Debora,11,3,12,11,11
Women's Singles - Round of 16 - Match 4,PICCOLIN Giorgia,7,5,11,8,0
Women's Singles - Round of 16 - Match 4,YANG Ha Eun,11,11,8,11,0
Women's Singles - Round of 32 - Match 5,EERLAND Britt,6,11,13,13,12
Women's Singles - Round of 32 - Match 5,EARLEY Sophie,11,3,15,11,14
Women's Singles - Round of 16 - Match 1,ZHANG Lily,11,10,13,11,0
Women's Singles - Round of 16 - Match 1,MADARASZ Dora,7,12,11,3,0
Women's Singles - Round of 32 - Match 7,SURJAN Sabina,11,9,11,9,0
Women's Singles - Round of 32 - Match 7,PICCOLIN Giorgia,6,11,13,11,0
Women's Singles - Round of 32 - Match 8,HO Tin-Tin,13,7,5,7,0
Women's Singles - Round of 32 - Match 8,YANG Ha Eun,11,11,11,11,0
Women's Singles - Round of 16 - Match 2,BRATEYKO Solomiya,11,8,15,11,0
Women's Singles - Round of 16 - Match 2,LIU Hsing-Yin,6,11,13,8,0
Women's Singles - Round of 32 - Match 11,BOLTON Emily,8,5,3,0,0
Women's Singles - Round of 32 - Match 11,PESOTSKA Margaryta,11,11,11,0,0
Women's Singles - Round of 16 - Match 5,XIAO Maria,11,7,11,11,0
Women's Singles - Round of 16 - Match 5,MATELOVA Hana,5,11,6,7,0
Women's Singles - Round of 16 - Match 8,MORET Rachel,4,11,2,12,11
Women's Singles - Round of 16 - Match 8,KIM Nayeong,11,6,11,10,9
Women's Singles - Round of 16 - Match 7,BAJOR Natalia,11,11,11,0,0
Women's Singles - Round of 16 - Match 7,ZARIF Audrey,4,7,8,0,0
Men's Singles - Round of 32 - Match 4,PRICE Louis,6,4,8,0,0
Men's Singles - Round of 32 - Match 4,MENGEL Steffen,11,11,11,0,0
Men's Singles - Round of 32 - Match 2,WALTHER Ricardo,11,5,4,11,13
Men's Singles - Round of 32 - Match 2,OEHME Benno,3,11,11,5,11
Men's Singles - Round of 32 - Match 9,ALLEGRO Martin,7,11,11,11,0
Men's Singles - Round of 32 - Match 9,MCBEATH David,11,8,5,3,0
Men's Singles - Round of 32 - Match 3,SIRAJ Shayan,4,7,12,5,0
Men's Singles - Round of 32 - Match 3,MUTTI Matteo,11,11,10,11,0
Men's Singles - Round of 32 - Match 11,PEREZ Juan,8,3,13,11,6
Men's Singles - Round of 32 - Match 11,LAMBIET Florent,11,11,11,9,11
Men's Singles - Round of 32 - Match 15,GREEN Connor,9,7,1,0,0
Men's Singles - Round of 32 - Match 15,JARVIS Tom,11,11,11,0,0
Men's Singles - Round of 32 - Match 10,HAUG Borgar,9,14,11,11,0
Men's Singles - Round of 32 - Match 10,RASSENFOSSE Adrien,11,12,9,7,0
Men's Singles - Round of 32 - Match 1,PITCHFORD Liam,11,10,12,11,0
Men's Singles - Round of 32 - Match 1,STOYANOV Niagol,8,12,10,7,0
Men's Singles - Round of 32 - Match 14,WU Jiaji,4,5,5,0,0
Men's Singles - Round of 32 - Match 14,LEVENKO Andreas,11,11,11,0,0
Men's Singles - Round of 32 - Match 16,MINO Alberto,9,11,9,3,0
Men's Singles - Round of 32 - Match 16,LIND Anders,11,9,11,11,0
Men's Singles - Round of 32 - Match 7,GIONIS Panagiotis,9,11,11,6,8
Men's Singles - Round of 32 - Match 7,IONESCU Ovidiu,11,9,9,11,11
Men's Singles - Round of 32 - Match 12,SZUDI Adam,7,4,6,0,0
Men's Singles - Round of 32 - Match 12,ROBLES Alvaro,11,11,11,0,0
Men's Singles - Round of 32 - Match 8,RANEFUR Elias,11,11,5,13,0
Men's Singles - Round of 32 - Match 8,HABESOHN Daniel,9,8,11,11,0
Men's Singles - Round of 32 - Match 13,CHO Daeseong,11,11,13,0,0
Men's Singles - Round of 32 - Match 13,MEISSNER Cedric,9,4,11,0,0
Men's Singles - Round of 32 - Match 5,APOLONIA Tiago,7,12,11,10,8
Men's Singles - Round of 32 - Match 5,MADRID Marcos,11,10,6,12,11
Men's Singles - Round of 32 - Match 6,BOBOCICA Mihai,7,11,11,7,0
Men's Singles - Round of 32 - Match 6,DRINKHALL Paul,11,13,7,11,0
Men's Singles - Round of 16 - Match 5,ALLEGRO Martin,9,12,11,11,0
Men's Singles - Round of 16 - Match 5,HAUG Borgar,11,10,6,7,0
Men's Singles - Round of 16 - Match 2,MUTTI Matteo,10,11,7,11,11
Men's Singles - Round of 16 - Match 2,MENGEL Steffen,12,9,11,6,6
Men's Singles - Round of 16 - Match 1,PITCHFORD Liam,7,11,11,11,11
Men's Singles - Round of 16 - Match 1,WALTHER Ricardo,11,13,6,6,3
Men's Singles - Round of 16 - Match 6,LAMBIET Florent,8,5,10,0,0
Men's Singles - Round of 16 - Match 6,ROBLES Alvaro,11,11,12,0,0
Men's Singles - Round of 16 - Match 4,IONESCU Ovidiu,11,9,7,5,0
Men's Singles - Round of 16 - Match 4,RANEFUR Elias,7,11,11,11,0
Men's Singles - Round of 16 - Match 8,JARVIS Tom,8,11,9,8,0
Men's Singles - Round of 16 - Match 8,LIND Anders,11,8,11,11,0
Men's Singles - Round of 16 - Match 7,CHO Daeseong,11,11,11,0,0
Men's Singles - Round of 16 - Match 7,LEVENKO Andreas,4,5,5,0,0
Men's Singles - Round of 16 - Match 3,MADRID Marcos,15,6,6,7,0
Men's Singles - Round of 16 - Match 3,DRINKHALL Paul,13,11,11,11,0
Women's Singles - Final - Match 1,SUN Yingsha,11,11,2,11,12
Women's Singles - Final - Match 1,CHEN Meng,7,6,11,7,10
Women's Singles - Semifinal - Match 1,SUN Yingsha,11,11,5,11,0
Women's Singles - Semifinal - Match 1,WANG Manyu,8,7,11,8,0
Women's Singles - Semifinal - Match 2,CHEN Meng,11,13,11,0,0
Women's Singles - Semifinal - Match 2,QIAN Tianyi,8,11,1,0,0
Women's Singles - Round of 16 - Match 1,SUN Yingsha,11,11,11,0,0
Women's Singles - Round of 16 - Match 1,HARIMOTO Miwa,0,3,6,0,0
Women's Singles - Quarterfinal - Match 2,WANG Manyu,11,11,11,0,0
Women's Singles - Quarterfinal - Match 2,CHEN Xingtong,5,8,8,0,0
Women's Singles - Round of 16 - Match 8,NI Xia Lian,11,13,6,5,0
Women's Singles - Round of 16 - Match 8,WANG Yidi,13,11,11,11,0
Women's Singles - Round of 16 - Match 5,JEON Jihee,11,7,3,8,0
Women's Singles - Round of 16 - Match 5,ZHANG Rui,9,11,11,11,0
Women's Singles - Round of 16 - Match 3,WANG Manyu,11,7,13,11,0
Women's Singles - Round of 16 - Match 3,CHENG I-Ching,4,11,11,3,0
Women's Singles - Round of 16 - Match 6,JOO Cheonhui,6,8,3,0,0
Women's Singles - Round of 16 - Match 6,CHEN Meng,11,11,11,0,0
Women's Singles - Quarterfinal - Match 4,QIAN Tianyi,11,14,11,0,0
Women's Singles - Quarterfinal - Match 4,WANG Yidi,7,12,6,0,0
Women's Singles - Quarterfinal - Match 1,SUN Yingsha,15,8,11,7,11
Women's Singles - Quarterfinal - Match 1,HAYATA Hina,13,11,7,11,9
Men's Singles - Round of 32 - Match 1,FAN Zhendong,11,11,8,11,0
Men's Singles - Round of 32 - Match 1,FRANZISKA Patrick,1,5,11,5,0
Men's Singles - Round of 64 - Match 2,LEBRUN Alexis,7,11,9,0,0
Men's Singles - Round of 64 - Match 2,FRANZISKA Patrick,11,13,11,0,0
Men's Singles - Round of 64 - Match 22,PUCAR Tomislav,11,9,11,12,0
Men's Singles - Round of 64 - Match 22,ASSAR Omar,4,11,7,10,0
Men's Singles - Round of 32 - Match 6,TOGAMI Shunsuke,11,11,8,12,11
Men's Singles - Round of 32 - Match 6,FREITAS Marcos,8,9,11,14,7
Men's Singles - Round of 64 - Match 27,GROTH Jonathan,4,5,10,0,0
Men's Singles - Round of 64 - Match 27,ZHOU Qihao,11,11,12,0,0
Men's Singles - Round of 64 - Match 23,DUDA Benedikt,17,9,12,9,11
Men's Singles - Round of 64 - Match 23,BOLL Timo,15,11,10,11,4
Men's Singles - Round of 64 - Match 31,FALCK Mattias,11,7,4,13,0
Men's Singles - Round of 64 - Match 31,AN Jaehyun,7,11,11,15,0
Men's Singles - Round of 64 - Match 30,MOREGARD Truls,9,11,11,11,0
Men's Singles - Round of 64 - Match 30,IONESCU Ovidiu,11,2,6,8,0
Men's Singles - Round of 32 - Match 14,ZHOU Qihao,11,10,4,11,9
Men's Singles - Round of 32 - Match 14,QIU Dang,6,12,11,7,11
Men's Singles - Round of 32 - Match 2,WONG Chun Ting,8,12,4,11,9
Men's Singles - Round of 32 - Match 2,LIM Jonghoon,11,10,11,6,11
Men's Singles - Round of 32 - Match 3,JORGIC Darko,13,11,11,11,0
Men's Singles - Round of 32 - Match 3,UDA Yukiya,11,5,13,3,0
Men's Singles - Round of 32 - Match 15,ARUNA Quadri,7,4,7,0,0
Men's Singles - Round of 32 - Match 15,MOREGARD Truls,11,11,11,0,0
Men's Singles - Round of 32 - Match 8,ROBLES Alvaro,7,7,11,2,0
Men's Singles - Round of 32 - Match 8,LIN Yun-Ju,11,11,5,11,0
Men's Singles - Round of 32 - Match 5,LIANG Jingkun,11,11,11,0,0
Men's Singles - Round of 32 - Match 5,SHINOZUKA Hiroto,5,8,5,0,0
Men's Singles - Round of 64 - Match 18,CASSIN Alexandre,11,8,11,11,0
